[28-Apr-2014 08:26:31 Europe/Berlin] PHP Fatal error:  require() [<a href='0function.require0'>function.require0</a>]: Failed opening required '../../includes/session/session_header.php' (include_path='.:/Applications/MAMP/bin/php/php5.5.3/lib/php') in /Applications/MAMP/htdocs/gumbo/app/index.php on line 2
[28-Apr-2014 08:27:49 Europe/Berlin] PHP Warning:  include_once(includes/db/conn_header.php) [<a href='0function.include-once0'>function.include-once0</a>]: failed to open stream: No such file or directory in /Applications/MAMP/htdocs/gumbo/includes/session/session_header.php on line 2
[28-Apr-2014 08:27:49 Europe/Berlin] PHP Warning:  include_once() [<a href='0function.include0'>function.include0</a>]: Failed opening 'includes/db/conn_header.php' for inclusion (include_path='.:/Applications/MAMP/bin/php/php5.5.3/lib/php') in /Applications/MAMP/htdocs/gumbo/includes/session/session_header.php on line 2
[28-Apr-2014 08:27:49 Europe/Berlin] PHP Warning:  include_once(includes/err/err_manager.class.php) [<a href='0function.include-once0'>function.include-once0</a>]: failed to open stream: No such file or directory in /Applications/MAMP/htdocs/gumbo/includes/session/session_header.php on line 3
[28-Apr-2014 08:27:49 Europe/Berlin] PHP Warning:  include_once() [<a href='0function.include0'>function.include0</a>]: Failed opening 'includes/err/err_manager.class.php' for inclusion (include_path='.:/Applications/MAMP/bin/php/php5.5.3/lib/php') in /Applications/MAMP/htdocs/gumbo/includes/session/session_header.php on line 3
[28-Apr-2014 08:27:49 Europe/Berlin] PHP Fatal error:  Class 'err_manager' not found in /Applications/MAMP/htdocs/gumbo/includes/session/session_header.php on line 6
[28-Apr-2014 08:28:04 Europe/Berlin] PHP Warning:  file_get_contents(config.json) [<a href='0function.file-get-contents0'>function.file-get-contents0</a>]: failed to open stream: No such file or directory in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 3
[28-Apr-2014 08:28:04 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 6
[28-Apr-2014 08:28:04 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 7
[28-Apr-2014 08:28:04 Europe/Berlin] PHP Notice:  Use of undefined constant SITEURL - assumed 'SITEURL' in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 9
[28-Apr-2014 08:28:04 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 9
[28-Apr-2014 08:28:04 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 9
